taxpayer_city,distinct_cities
ROCHESTER,1
ROGERS,1
ROSEMOUNT,1
RUSSELL,1
RUTLAND,1
RYE,1
SACRED HEART,1
SALEM,1
SAN ANTONIO,1
SAN DIEGO,1
SAN JOSE,1
SARASOTA,1
SAUK RAPIDS,1
SAVAGE,1
SCOTTSDALE,1
SEAFORTH,1
SEARCY,1
SEASIDE,1
SEATTLE,1
SERGEANT BLUFF,1
SHAKOPEE,1
SHELDON,1
SHERIDAN,1
SHERMAN,1
SHOREVIEW,1
SILVER LAKE,1
SILVERTHORNE,1
SIOUX,1
SIOUX CENTER,1
SIOUX FALLS,1
SLAYTON,1
SLEEPY EYE,1
SPOONER,1
SPRING HILL,1
SPRINGFIELD,1
STARBUCK,1
STILLWATER,1
SUMMERVILLE,1
SYCAMORE,1
TARPON SPRINGS,1
TAUNTON,1
TEA,1
THE DALLES,1
TOMAH,1
TORRINGTON,1
TRACY,1
TUCSON,1
TYLER,1
VALLEY,1
VALLEY SPRINGS,1
VESTA,1
VICTORIA,1
VIENNA,1
VILLARD,1
VOLGA,1
WABASSO,1
WACONIA,1
WADENA,1
WALNUT GROVE,1
WANDA,1
WARREN,1
WASECA,1
WASHINGTON,1
WATERLOO,1
WATERTOWN,1
WATERVILLE,1
WATFORD CITY,1
WATSON,1
WESTCLIFFE,1
WHITESBORO,1
WILLMAR,1
WILLOWBROOK,1
WILMOT,1
WINDERMERE,1
WINDOM,1
WINTER HAVEN,1
WISCONSIN,1
WOOD LAKE,1
WOODBURY,1
WOODSTOCK,1
WYOMING,1
YORK,1
NA,0
